Order_ID,Order_Date,Category,Sub_Category,Region,Sales,Quantity,Discount,Profit
ORD-10065,2024-02-29 06:34:57.297297,Office Supplies,Binders,South,950.29,3,0.0,234.45
ORD-10066,2024-03-01 04:28:06.486486,Technology,Laptops,South,203.19,2,0.3,46.4
ORD-10067,2024-03-02 02:21:15.675675,Furniture,Chairs,East,1491.34,8,0.5,497.46
ORD-10068,2024-03-03 00:14:24.864864,Furniture,Chairs,North,3258.25,8,0.0,878.08
ORD-10069,2024-03-03 22:07:34.054054,Furniture,Chairs,East,1744.86,8,0.5,202.14
ORD-10070,2024-03-04 20:00:43.243243,Office Supplies,Paper,East,1209.18,9,0.0,254.29
ORD-10071,2024-03-05 17:53:52.432432,Technology,Laptops,North,434.32,3,0.3,140.61
ORD-10072,2024-03-06 15:47:01.621621,Office Supplies,Paper,East,590.5,4,0.5,35.77
ORD-10073,2024-03-07 13:40:10.810810,Technology,Accessories,North,1896.69,4,0.0,159.4
ORD-10074,2024-03-08 11:33:20.000000,Technology,Laptops,South,3137.7,7,0.1,570.5
ORD-10075,2024-03-09 09:26:29.189189,Office Supplies,Paper,East,969.91,2,0.0,270.07
ORD-10076,2024-03-10 07:19:38.378378,Technology,Phones,South,1414.5,7,0.1,237.04
ORD-10077,2024-03-11 05:12:47.567567,Office Supplies,Binders,South,1065.59,5,0.2,235.11
ORD-10078,2024-03-12 03:05:56.756756,Technology,Phones,South,534.44,4,0.0,121.62
ORD-10079,2024-03-13 00:59:05.945945,Furniture,Bookcases,East,1935.58,6,0.1,621.08
ORD-10080,2024-03-13 22:52:15.135135,Office Supplies,Binders,East,,2,0.1,118.06
ORD-10081,2024-03-14 20:45:24.324324,Technology,Accessories,North,1323.36,7,0.5,150.46
ORD-10082,2024-03-15 18:38:33.513513,Technology,Accessories,West,59.79,1,0.0,7.0
ORD-10083,2024-03-16 16:31:42.702702,Furniture,Tables,West,102.08,5,0.5,25.51
ORD-10084,2024-03-17 14:24:51.891891,Technology,Accessories,East,224.83,4,0.0,25.87
ORD-10085,2024-03-18 12:18:01.081081,Office Supplies,Art,North,1418.1,5,0.2,450.28
ORD-10086,2024-03-19 10:11:10.270270,Technology,Accessories,West,1172.47,8,0.3,170.69
ORD-10087,2024-03-20 08:04:19.459459,Furniture,Tables,West,147.65,2,0.5,40.54
ORD-10088,2024-03-21 05:57:28.648648,Office Supplies,Binders,East,77.14,1,0.5,12.69
ORD-10089,2024-03-22 03:50:37.837837,Technology,Phones,South,1120.01,3,0.1,193.99
ORD-10090,2024-03-23 01:43:47.027027,Technology,Accessories,North,107.49,2,0.1,21.16
ORD-10091,2024-03-23 23:36:56.216216,Technology,Accessories,West,353.92,1,0.1,120.52
ORD-10092,2024-03-24 21:30:05.405405,Technology,Accessories,North,3496.02,9,0.2,767.66
ORD-10093,2024-03-25 19:23:14.594594,Technology,Laptops,North,126.37,3,0.5,-1.54
ORD-10094,2024-03-26 17:16:23.783783,Furniture,Chairs,North,,5,0.5,271.02
ORD-10095,2024-03-27 15:09:32.972972,Technology,Phones,South,416.18,3,0.0,36.94
ORD-10096,2024-03-28 13:02:42.162162,Office Supplies,Paper,North,518.99,4,0.0,143.81
ORD-10097,2024-03-29 10:55:51.351351,Furniture,Bookcases,West,2156.84,7,0.1,413.98
ORD-10098,2024-03-30 08:49:00.540540,Office Supplies,Art,South,142.46,1,0.5,0.9
ORD-10099,2024-03-31 06:42:09.729729,Office Supplies,Paper,North,1338.63,7,0.5,313.69
ORD-10100,2024-04-01 04:35:18.918918,Office Supplies,Art,East,1707.95,6,0.1,263.03
ORD-10101,2024-04-02 02:28:28.108108,Furniture,Tables,South,953.39,3,0.3,198.25
ORD-10102,2024-04-03 00:21:37.297297,Technology,Accessories,West,1899.3,7,0.0,635.99
ORD-10103,2024-04-03 22:14:46.486486,Furniture,Chairs,South,71.98,1,0.5,14.76
ORD-10104,2024-04-04 20:07:55.675675,Technology,Laptops,North,666.93,3,0.2,57.12
ORD-10105,2024-04-05 18:01:04.864864,Technology,Accessories,West,721.75,3,0.1,164.42
ORD-10106,2024-04-06 15:54:14.054054,Office Supplies,Art,North,835.38,5,0.1,84.13
ORD-10107,2024-04-07 13:47:23.243243,Technology,Laptops,North,,5,0.1,343.41
ORD-10108,2024-04-08 11:40:32.432432,Technology,Laptops,South,578.7,9,0.0,148.34
ORD-10109,2024-04-09 09:33:41.621621,Furniture,Bookcases,East,152.9,1,0.0,11.52
ORD-10110,2024-04-10 07:26:50.810810,Office Supplies,Paper,West,1818.51,8,0.1,503.52
ORD-10111,2024-04-11 05:20:00.000000,Furniture,Tables,North,536.94,8,0.2,167.05
ORD-10112,2024-04-12 03:13:09.189189,Furniture,Bookcases,East,375.61,2,0.2,59.53
ORD-10113,2024-04-13 01:06:18.378378,Technology,Accessories,North,1099.97,7,0.1,229.65
ORD-10114,2024-04-13 22:59:27.567567,Technology,Phones,North,891.02,4,0.1,253.5
ORD-10115,2024-04-14 20:52:36.756756,Technology,Laptops,East,1000.12,4,0.1,215.35
ORD-10116,2024-04-15 18:45:45.945945,Technology,Accessories,South,1146.44,9,0.3,273.47
ORD-10117,2024-04-16 16:38:55.135135,Furniture,Bookcases,West,1864.63,6,0.0,97.45
ORD-10118,2024-04-17 14:32:04.324324,Technology,Laptops,South,,7,0.2,104.69
ORD-10119,2024-04-18 12:25:13.513513,Furniture,Bookcases,West,2376.14,7,0.2,488.7
ORD-10120,2024-04-19 10:18:22.702702,Technology,Accessories,South,474.37,2,0.2,142.89
ORD-10121,2024-04-20 08:11:31.891891,Furniture,Tables,North,2935.92,8,0.0,779.6
ORD-10122,2024-04-21 06:04:41.081081,Office Supplies,Binders,East,384.23,5,0.3,62.25
ORD-10123,2024-04-22 03:57:50.270270,Technology,Phones,West,156.55,1,0.5,21.6
ORD-10124,2024-04-23 01:50:59.459459,Office Supplies,Paper,East,121.16,3,0.1,20.57
ORD-10125,2024-04-23 23:44:08.648648,Technology,Accessories,South,314.51,2,0.1,22.02
ORD-10126,2024-04-24 21:37:17.837837,Office Supplies,Paper,North,60.81,1,0.2,5.4
ORD-10127,2024-04-25 19:30:27.027027,Technology,Phones,South,127.46,2,0.2,38.25
ORD-10128,2024-04-26 17:23:36.216216,Office Supplies,Art,North,2051.65,8,0.3,614.72
ORD-10129,2024-04-27 15:16:45.405405,Office Supplies,Paper,North,148.27,3,0.5,7.9
ORD-10130,2024-04-28 13:09:54.594594,Furniture,Tables,South,618.39,4,0.1,101.72
ORD-10131,2024-04-29 11:03:03.783783,Office Supplies,Binders,West,958.71,3,0.0,262.96
ORD-10132,2024-04-30 08:56:12.972972,Office Supplies,Paper,North,406.62,1,0.1,84.64
ORD-10133,2024-05-01 06:49:22.162162,Office Supplies,Art,East,2261.37,6,0.2,336.27
ORD-10134,2024-05-02 04:42:31.351351,Office Supplies,Art,North,220.85,1,0.2,59.29
ORD-10135,2024-05-03 02:35:40.540540,Furniture,Chairs,North,1968.57,5,0.0,118.23
ORD-10136,2024-05-04 00:28:49.729729,Furniture,Tables,South,2204.24,5,0.0,178.27
ORD-10137,2024-05-04 22:21:58.918918,Technology,Accessories,East,670.21,4,0.3,107.39
ORD-10138,2024-05-05 20:15:08.108108,Technology,Phones,North,1320.05,4,0.1,68.84
ORD-10139,2024-05-06 18:08:17.297297,Office Supplies,Art,West,1164.05,4,0.2,174.92
ORD-10140,2024-05-07 16:01:26.486486,Office Supplies,Binders,South,2160.2,8,0.1,719.91
ORD-10141,2024-05-08 13:54:35.675675,Furniture,Chairs,West,438.9,2,0.3,94.02
ORD-10142,2024-05-09 11:47:44.864864,Technology,Phones,West,266.96,1,0.1,16.87
ORD-10143,2024-05-10 09:40:54.054054,Office Supplies,Paper,South,2709.83,8,0.2,498.0
ORD-10144,2024-05-11 07:34:03.243243,Furniture,Chairs,North,319.35,4,0.0,47.79
ORD-10145,2024-05-12 05:27:12.432432,Furniture,Bookcases,East,2494.31,8,0.0,681.63
ORD-10146,2024-05-13 03:20:21.621621,Furniture,Chairs,North,471.54,9,0.3,93.6
ORD-10147,2024-05-14 01:13:30.810810,Office Supplies,Binders,South,1175.19,7,0.1,380.57
ORD-10148,2024-05-14 23:06:40.000000,Office Supplies,Art,West,417.45,3,0.0,83.29
ORD-10149,2024-05-15 20:59:49.189189,Furniture,Chairs,West,155.16,1,0.2,33.19
ORD-10150,2024-05-16 18:52:58.378378,Furniture,Chairs,North,3417.82,7,0.0,323.32
ORD-10151,2024-05-17 16:46:07.567567,Furniture,Tables,West,2088.43,8,0.0,298.61
ORD-10152,2024-05-18 14:39:16.756756,Furniture,Bookcases,East,1804.26,8,0.5,418.5
ORD-10153,2024-05-19 12:32:25.945945,Technology,Laptops,West,2415.82,8,0.0,682.85
ORD-10154,2024-05-20 10:25:35.135135,Office Supplies,Binders,South,1250.46,6,0.1,246.97
ORD-10155,2024-05-21 08:18:44.324324,Office Supplies,Art,West,144.4,1,0.2,19.39
ORD-10156,2024-05-22 06:11:53.513513,Furniture,Bookcases,South,302.67,2,0.3,85.39
ORD-10157,2024-05-23 04:05:02.702702,Office Supplies,Paper,West,227.86,1,0.2,23.19
ORD-10158,2024-05-24 01:58:11.891891,Office Supplies,Art,North,279.89,8,0.5,18.99
ORD-10159,2024-05-24 23:51:21.081081,Technology,Accessories,West,650.48,2,0.2,216.38
ORD-10160,2024-05-25 21:44:30.270270,Technology,Laptops,North,2836.52,7,0.1,212.59
ORD-10161,2024-05-26 19:37:39.459459,Office Supplies,Paper,East,629.71,3,0.3,158.47
ORD-10162,2024-05-27 17:30:48.648648,Technology,Accessories,North,652.38,4,0.1,101.67
ORD-10163,2024-05-28 15:23:57.837837,Office Supplies,Paper,North,2348.64,6,0.0,424.72
ORD-10164,2024-05-29 13:17:07.027027,Office Supplies,Binders,South,478.94,8,0.2,148.48
ORD-10165,2024-05-30 11:10:16.216216,Technology,Laptops,East,134.07,1,0.1,30.18
ORD-10166,2024-05-31 09:03:25.405405,Office Supplies,Paper,South,1767.22,6,0.3,152.49
ORD-10167,2024-06-01 06:56:34.594594,Technology,Phones,South,2191.95,7,0.1,455.9
ORD-10168,2024-06-02 04:49:43.783783,Furniture,Chairs,South,572.01,2,0.0,113.97
ORD-10169,2024-06-03 02:42:52.972972,Office Supplies,Paper,South,514.23,6,0.0,66.82
ORD-10170,2024-06-04 00:36:02.162162,Office Supplies,Binders,West,2083.74,9,0.1,673.81
ORD-10171,2024-06-04 22:29:11.351351,Furniture,Chairs,West,159.71,2,0.2,12.82
ORD-10172,2024-06-05 20:22:20.540540,Technology,Accessories,South,1687.19,5,0.2,260.39
ORD-10173,2024-06-06 18:15:29.729729,Technology,Accessories,East,2101.49,8,0.1,353.14
ORD-10174,2024-06-07 16:08:38.918918,Furniture,Tables,North,689.76,8,0.3,140.2
ORD-10175,2024-06-08 14:01:48.108108,Office Supplies,Art,West,129.13,1,0.5,2.45
ORD-10176,2024-06-09 11:54:57.297297,Technology,Laptops,South,926.52,5,0.0,161.06
ORD-10177,2024-06-10 09:48:06.486486,Technology,Accessories,West,995.57,9,0.2,69.0
ORD-10178,2024-06-11 07:41:15.675675,Office Supplies,Binders,South,69.48,2,0.5,-4.62
ORD-10179,2024-06-12 05:34:24.864864,Office Supplies,Paper,North,476.11,1,0.0,50.25
ORD-10180,2024-06-13 03:27:34.054054,Furniture,Bookcases,West,960.84,5,0.5,237.59
ORD-10181,2024-06-14 01:20:43.243243,Furniture,Chairs,South,2378.87,9,0.2,819.8
ORD-10182,2024-06-14 23:13:52.432432,Technology,Laptops,East,3148.04,7,0.1,691.78
ORD-10183,2024-06-15 21:07:01.621621,Furniture,Bookcases,South,1483.57,5,0.2,481.6
ORD-10184,2024-06-16 19:00:10.810810,Furniture,Bookcases,East,528.68,2,0.3,154.38
ORD-10185,2024-06-17 16:53:20.000000,Furniture,Bookcases,South,211.48,7,0.2,42.15
ORD-10186,2024-06-18 14:46:29.189189,Technology,Laptops,East,1235.37,5,0.1,328.38
ORD-10187,2024-06-19 12:39:38.378378,Office Supplies,Art,West,278.43,1,0.0,75.55
ORD-10188,2024-06-20 10:32:47.567567,Technology,Phones,South,57.08,2,0.1,17.81
ORD-10189,2024-06-21 08:25:56.756756,Office Supplies,Art,North,753.2,2,0.2,49.48
ORD-10190,2024-06-22 06:19:05.945945,Furniture,Chairs,South,106.46,1,0.5,10.65
ORD-10191,2024-06-23 04:12:15.135135,Office Supplies,Paper,South,1143.18,9,0.3,304.12
ORD-10192,2024-06-24 02:05:24.324324,Furniture,Chairs,East,884.1,8,0.3,227.99
ORD-10193,2024-06-24 23:58:33.513513,Technology,Phones,West,456.96,1,0.0,37.85
ORD-10194,2024-06-25 21:51:42.702702,Technology,Accessories,South,1589.78,5,0.2,356.19
ORD-10195,2024-06-26 19:44:51.891891,Office Supplies,Art,South,977.41,8,0.5,328.92
ORD-10196,2024-06-27 17:38:01.081081,Office Supplies,Art,West,844.31,4,0.5,242.61
ORD-10197,2024-06-28 15:31:10.270270,Furniture,Tables,East,408.73,2,0.0,43.3
ORD-10198,2024-06-29 13:24:19.459459,Office Supplies,Binders,North,1611.47,5,0.0,331.12
ORD-10199,2024-06-30 11:17:28.648648,Furniture,Chairs,North,1151.86,3,0.0,110.77
ORD-10200,2024-07-01 09:10:37.837837,Office Supplies,Binders,North,3031.83,8,0.0,690.9
ORD-10201,2024-07-02 07:03:47.027027,Furniture,Chairs,South,1495.88,9,0.2,128.92
ORD-10202,2024-07-03 04:56:56.216216,Technology,Accessories,North,867.64,2,0.0,129.03
ORD-10203,2024-07-04 02:50:05.405405,Technology,Phones,East,345.69,2,0.2,88.31
ORD-10204,2024-07-05 00:43:14.594594,Furniture,Tables,South,314.22,5,0.5,90.03
ORD-10205,2024-07-05 22:36:23.783783,Technology,Phones,South,1775.18,8,0.5,561.53
ORD-10206,2024-07-06 20:29:32.972972,Office Supplies,Binders,West,353.39,1,0.2,105.71
ORD-10207,2024-07-07 18:22:42.162162,Technology,Accessories,East,811.46,9,0.5,200.36
ORD-10208,2024-07-08 16:15:51.351351,Furniture,Bookcases,East,332.48,6,0.5,94.49
ORD-10209,2024-07-09 14:09:00.540540,Furniture,Chairs,East,125.83,7,0.2,10.92
ORD-10210,2024-07-10 12:02:09.729729,Office Supplies,Art,South,573.93,4,0.5,106.07
ORD-10211,2024-07-11 09:55:18.918918,Office Supplies,Binders,West,259.85,1,0.1,60.42
ORD-10212,2024-07-12 07:48:28.108108,Technology,Accessories,West,842.42,6,0.1,149.36
ORD-10213,2024-07-13 05:41:37.297297,Furniture,Bookcases,West,242.22,5,0.3,18.74
ORD-10214,2024-07-14 03:34:46.486486,Furniture,Bookcases,West,390.07,1,0.0,87.63
ORD-10215,2024-07-15 01:27:55.675675,Technology,Laptops,South,302.08,8,0.1,102.84
ORD-10216,2024-07-15 23:21:04.864864,Office Supplies,Paper,West,926.34,4,0.3,251.04
ORD-10217,2024-07-16 21:14:14.054054,Office Supplies,Paper,East,140.27,1,0.2,13.64
ORD-10218,2024-07-17 19:07:23.243243,Office Supplies,Binders,South,997.24,2,0.0,80.44
ORD-10219,2024-07-18 17:00:32.432432,Technology,Accessories,East,2332.08,7,0.2,267.06
ORD-10220,2024-07-19 14:53:41.621621,Furniture,Bookcases,South,1069.33,4,0.2,327.94
ORD-10221,2024-07-20 12:46:50.810810,Furniture,Chairs,North,1305.97,5,0.2,168.73
ORD-10222,2024-07-21 10:40:00.000000,Office Supplies,Art,North,391.13,6,0.5,33.07
ORD-10223,2024-07-22 08:33:09.189189,Technology,Phones,West,695.83,2,0.2,232.9
ORD-10224,2024-07-23 06:26:18.378378,Furniture,Chairs,North,375.02,5,0.2,109.79
ORD-10225,2024-07-24 04:19:27.567567,Office Supplies,Art,North,2059.57,5,0.1,481.99
ORD-10226,2024-07-25 02:12:36.756756,Furniture,Bookcases,North,392.44,7,0.3,42.77
ORD-10227,2024-07-26 00:05:45.945945,Technology,Laptops,West,437.38,9,0.5,47.16
ORD-10228,2024-07-26 21:58:55.135135,Office Supplies,Paper,North,1749.65,8,0.1,337.4
ORD-10229,2024-07-27 19:52:04.324324,Office Supplies,Binders,West,3895.73,9,0.0,241.09
ORD-10230,2024-07-28 17:45:13.513513,Furniture,Bookcases,West,1225.63,9,0.0,271.2
ORD-10231,2024-07-29 15:38:22.702702,Office Supplies,Binders,South,669.92,4,0.1,97.11
ORD-10232,2024-07-30 13:31:31.891891,Furniture,Chairs,North,1694.71,9,0.0,503.93
ORD-10233,2024-07-31 11:24:41.081081,Furniture,Tables,East,880.53,2,0.1,224.15
ORD-10234,2024-08-01 09:17:50.270270,Furniture,Bookcases,South,1914.0,7,0.2,163.03
ORD-10235,2024-08-02 07:10:59.459459,Office Supplies,Binders,North,1895.82,6,0.0,498.07
ORD-10236,2024-08-03 05:04:08.648648,Furniture,Tables,West,1652.25,7,0.3,372.77
ORD-10237,2024-08-04 02:57:17.837837,Furniture,Tables,East,83.08,3,0.3,16.39
ORD-10238,2024-08-05 00:50:27.027027,Office Supplies,Binders,South,2324.99,7,0.0,724.32
ORD-10239,2024-08-05 22:43:36.216216,Furniture,Bookcases,East,754.51,4,0.5,206.48
ORD-10240,2024-08-06 20:36:45.405405,Office Supplies,Art,West,48.02,2,0.2,1.69
ORD-10241,2024-08-07 18:29:54.594594,Technology,Accessories,East,519.76,3,0.5,81.23
ORD-10242,2024-08-08 16:23:03.783783,Office Supplies,Paper,East,393.09,1,0.1,105.24
ORD-10243,2024-08-09 14:16:12.972972,Technology,Laptops,West,1797.02,8,0.2,397.82
ORD-10244,2024-08-10 12:09:22.162162,Furniture,Chairs,South,,4,0.1,453.23
ORD-10245,2024-08-11 10:02:31.351351,Office Supplies,Binders,East,234.38,3,0.5,16.53
ORD-10246,2024-08-12 07:55:40.540540,Technology,Laptops,West,1487.58,5,0.2,416.69
ORD-10247,2024-08-13 05:48:49.729729,Furniture,Bookcases,South,106.87,2,0.5,-2.44
ORD-10248,2024-08-14 03:41:58.918918,Technology,Laptops,South,1669.47,8,0.3,374.45
ORD-10249,2024-08-15 01:35:08.108108,Furniture,Chairs,East,3931.08,9,0.1,1206.4
ORD-10250,2024-08-15 23:28:17.297297,Technology,Accessories,North,1721.34,8,0.3,580.88
ORD-10251,2024-08-16 21:21:26.486486,Office Supplies,Art,East,626.86,3,0.1,113.74
ORD-10252,2024-08-17 19:14:35.675675,Furniture,Chairs,North,557.53,5,0.2,182.54
ORD-10253,2024-08-18 17:07:44.864864,Technology,Laptops,West,1397.96,9,0.5,283.65
ORD-10254,2024-08-19 15:00:54.054054,Technology,Phones,West,1685.43,8,0.3,351.26
ORD-10255,2024-08-20 12:54:03.243243,Furniture,Tables,South,1732.26,9,0.3,107.48
ORD-10256,2024-08-21 10:47:12.432432,Technology,Accessories,East,510.74,6,0.2,69.98
ORD-10257,2024-08-22 08:40:21.621621,Technology,Accessories,South,1579.46,4,0.2,77.31
ORD-10258,2024-08-23 06:33:30.810810,Furniture,Chairs,South,2148.87,9,0.2,418.58
ORD-10259,2024-08-24 04:26:40.000000,Furniture,Bookcases,West,1289.69,4,0.1,346.05
ORD-10260,2024-08-25 02:19:49.189189,Furniture,Chairs,North,1199.97,7,0.5,396.79
ORD-10261,2024-08-26 00:12:58.378378,Office Supplies,Binders,North,2742.56,7,0.2,695.28
ORD-10262,2024-08-26 22:06:07.567567,Furniture,Tables,North,,8,0.0,205.73
ORD-10263,2024-08-27 19:59:16.756756,Technology,Laptops,West,154.15,1,0.5,28.55
ORD-10264,2024-08-28 17:52:25.945945,Technology,Laptops,South,999.44,2,0.0,309.76
ORD-10265,2024-08-29 15:45:35.135135,Technology,Phones,North,1460.84,5,0.0,120.86
ORD-10266,2024-08-30 13:38:44.324324,Furniture,Chairs,South,1225.6,4,0.1,339.56
ORD-10267,2024-08-31 11:31:53.513513,Technology,Accessories,East,77.7,1,0.0,11.54
ORD-10268,2024-09-01 09:25:02.702702,Technology,Laptops,East,506.5,5,0.5,83.5
ORD-10269,2024-09-02 07:18:11.891891,Technology,Phones,East,264.64,6,0.2,22.61
ORD-10270,2024-09-03 05:11:21.081081,Furniture,Tables,South,1638.61,9,0.1,547.66
ORD-10271,2024-09-04 03:04:30.270270,Furniture,Tables,West,2053.04,5,0.0,336.82
ORD-10272,2024-09-05 00:57:39.459459,Furniture,Chairs,East,1122.46,4,0.1,295.06
ORD-10273,2024-09-05 22:50:48.648648,Office Supplies,Paper,North,793.85,7,0.5,243.56
ORD-10274,2024-09-06 20:43:57.837837,Technology,Accessories,East,1499.29,4,0.2,116.58
ORD-10275,2024-09-07 18:37:07.027027,Technology,Phones,West,806.89,3,0.1,186.09
ORD-10276,2024-09-08 16:30:16.216216,Furniture,Tables,North,1328.4,4,0.2,111.53
ORD-10277,2024-09-09 14:23:25.405405,Furniture,Bookcases,North,1132.14,7,0.0,249.29
ORD-10278,2024-09-10 12:16:34.594594,Furniture,Tables,East,852.33,6,0.5,194.51
ORD-10279,2024-09-11 10:09:43.783783,Office Supplies,Paper,East,1735.48,6,0.3,199.52
ORD-10280,2024-09-12 08:02:52.972972,Technology,Accessories,South,869.17,8,0.5,269.67
ORD-10281,2024-09-13 05:56:02.162162,Technology,Laptops,East,659.96,5,0.2,197.52
ORD-10282,2024-09-14 03:49:11.351351,Office Supplies,Binders,North,698.39,2,0.1,127.57
